a,Water,b,Mineral Oil,c,Glycerol,d,CuSO4 0.625%,e,CuSO4 1.25%,f,CuSO4 2.5%,g,CuSO4 5%,h,CuSO4 10%
0.0568,-0.12,0.0568,-0.72,0.0568,-0.64,0.0568,-0.08,0.0568,2.72,0.0568,-0.32,0.0568,-0.24,0.0568,0
0.0569,-0.12,0.0569,-0.72,0.0569,-0.4,0.0569,0.48,0.0569,2.4,0.0569,-0.24,0.0569,-0.24,0.0569,0
0.057,-0.14,0.057,-0.72,0.057,0.32,0.057,2.08,0.057,1.84,0.057,-0.24,0.057,-0.24,0.057,0
0.0571,-0.14,0.0571,-0.56,0.0571,2.24,0.0571,4.32,0.0571,1.28,0.0571,-0.16,0.0571,-0.24,0.0571,0
0.0572,-0.14,0.0572,-0.4,0.0572,2.16,0.0572,3.92,0.0572,0.8,0.0572,-0.08,0.0572,-0.24,0.0572,0
0.0573,-0.14,0.0573,0.08,0.0573,1.04,0.0573,3.04,0.0573,0.48,0.0573,0,0.0573,-0.24,0.0573,0
0.0574,-0.12,0.0574,0.56,0.0574,0.16,0.0574,2.08,0.0574,0.24,0.0574,0.16,0.0574,-0.24,0.0574,0
0.0575,-0.14,0.0575,1.52,0.0575,-0.32,0.0575,1.36,0.0575,0.08,0.0575,0.32,0.0575,-0.24,0.0575,0
0.0576,-0.1,0.0576,2.4,0.0576,-0.64,0.0576,0.72,0.0576,-0.08,0.0576,0.56,0.0576,-0.16,0.0576,0
0.0577,-0.06,0.0577,1.92,0.0577,-0.72,0.0577,0.32,0.0577,-0.16,0.0577,0.8,0.0577,-0.08,0.0577,0
0.0578,-0.02,0.0578,1.84,0.0578,-0.8,0.0578,-0.08,0.0578,-0.32,0.0578,1.12,0.0578,0.08,0.0578,-0.08
0.0579,0,0.0579,1.6,0.0579,-0.72,0.0579,-0.24,0.0579,-0.32,0.0579,1.84,0.0579,0.24,0.0579,0
0.058,0.44,0.058,1.12,0.058,-0.72,0.058,-0.4,0.058,-0.32,0.058,2.8,0.058,0.72,0.058,0
0.0581,1.24,0.0581,0.64,0.0581,0.4,0.0581,-0.48,0.0581,-0.4,0.0581,3.84,0.0581,1.6,0.0581,0
0.0582,1.6,0.0582,0.24,0.0582,0.16,0.0582,-0.56,0.0582,-0.48,0.0582,4.64,0.0582,2.16,0.0582,0
0.0583,1.3,0.0583,-0.16,0.0583,-0.32,0.0583,-0.64,0.0583,-0.48,0.0583,4.88,0.0583,2.16,0.0583,0
0.0584,0.88,0.0584,-0.32,0.0584,-0.64,0.0584,-0.72,0.0584,-0.4,0.0584,4.72,0.0584,2,0.0584,0
0.0585,0.58,0.0585,-0.56,0.0585,-0.72,0.0585,-0.72,0.0585,-0.32,0.0585,4.24,0.0585,1.76,0.0585,0
0.0586,0.38,0.0586,-0.64,0.0586,-0.72,0.0586,-0.72,0.0586,-0.24,0.0586,3.76,0.0586,1.52,0.0586,-0.08
0.0587,0.18,0.0587,-0.8,0.0587,-0.72,0.0587,-0.8,0.0587,-0.08,0.0587,3.28,0.0587,1.28,0.0587,0
0.0588,0.08,0.0588,-0.8,0.0588,-0.64,0.0588,-0.72,0.0588,0.16,0.0588,2.88,0.0588,1.04,0.0588,-0.08
0.0589,0,0.0589,-0.8,0.0589,-0.48,0.0589,-0.72,0.0589,0.64,0.0589,2.48,0.0589,0.88,0.0589,0
0.059,-0.06,0.059,-0.8,0.059,0.24,0.059,-0.72,0.059,2,0.059,2.08,0.059,0.64,0.059,0
0.0591,-0.1,0.0591,-0.8,0.0591,2.08,0.0591,-0.72,0.0591,3.92,0.0591,1.76,0.0591,0.56,0.0591,-0.08
0.0592,-0.14,0.0592,-0.8,0.0592,2.16,0.0592,-0.64,0.0592,5.04,0.0592,1.36,0.0592,0.4,0.0592,0.56
0.0593,-0.14,0.0593,-0.72,0.0593,1.04,0.0593,-0.4,0.0593,4.72,0.0593,1.12,0.0593,0.24,0.0593,2.32
0.0594,-0.18,0.0594,-0.72,0.0594,0.16,0.0594,-0.08,0.0594,3.6,0.0594,0.88,0.0594,0.16,0.0594,3.6
0.0595,-0.12,0.0595,-0.64,0.0595,-0.32,0.0595,1.04,0.0595,2.56,0.0595,0.64,0.0595,0.08,0.0595,4.24
0.0596,-0.14,0.0596,-0.48,0.0596,-0.48,0.0596,0.72,0.0596,1.84,0.0596,0.48,0.0596,0,0.0596,4.32
0.0597,-0.1,0.0597,-0.24,0.0597,-0.72,0.0597,0.96,0.0597,1.2,0.0597,0.4,0.0597,-0.08,0.0597,4.32
0.0598,-0.14,0.0598,0.16,0.0598,-0.8,0.0598,0.96,0.0598,0.72,0.0598,0.24,0.0598,-0.16,0.0598,4.08
0.0599,-0.14,0.0599,0.8,0.0599,-0.8,0.0599,0.64,0.0599,0.4,0.0599,0.08,0.0599,-0.16,0.0599,3.92
0.06,-0.16,0.06,1.6,0.06,-0.72,0.06,0.32,0.06,0.16,0.06,0,0.06,-0.16,0.06,3.44
0.0601,-0.14,0.0601,3.68,0.0601,0.32,0.0601,-0.08,0.0601,0,0.0601,-0.08,0.0601,-0.16,0.0601,3.2
0.0602,-0.14,0.0602,4.4,0.0602,0,0.0602,-0.32,0.0602,-0.08,0.0602,-0.16,0.0602,-0.16,0.0602,2.8
0.0603,-0.08,0.0603,3.68,0.0603,-0.48,0.0603,-0.4,0.0603,-0.16,0.0603,-0.16,0.0603,-0.24,0.0603,2.64
0.0604,-0.02,0.0604,2.96,0.0604,-0.64,0.0604,-0.48,0.0604,-0.32,0.0604,-0.32,0.0604,-0.24,0.0604,2.24
0.0605,0.22,0.0605,2.08,0.0605,-0.72,0.0605,-0.56,0.0605,-0.4,0.0605,-0.32,0.0605,-0.32,0.0605,2
0.0606,0.52,0.0606,1.36,0.0606,-0.72,0.0606,-0.64,0.0606,-0.32,0.0606,-0.32,0.0606,-0.24,0.0606,1.84
0.0607,0.34,0.0607,0.72,0.0607,-0.72,0.0607,-0.72,0.0607,-0.48,0.0607,-0.4,0.0607,-0.32,0.0607,1.6
0.0608,0.34,0.0608,0.32,0.0608,-0.64,0.0608,-0.72,0.0608,-0.48,0.0608,-0.4,0.0608,-0.24,0.0608,1.52
0.0609,0.2,0.0609,-0.08,0.0609,-0.48,0.0609,-0.72,0.0609,-0.48,0.0609,-0.4,0.0609,-0.32,0.0609,1.36
0.061,0.12,0.061,-0.32,0.061,0.24,0.061,-0.72,0.061,-0.48,0.061,-0.4,0.061,-0.32,0.061,1.2
0.0611,0.06,0.0611,-0.48,0.0611,2,0.0611,-0.72,0.0611,-0.48,0.0611,-0.4,0.0611,-0.32,0.0611,1.04
0.0612,0.02,0.0612,-0.56,0.0612,2,0.0612,-0.72,0.0612,-0.4,0.0612,-0.4,0.0612,-0.24,0.0612,0.96
0.0613,-0.04,0.0613,-0.64,0.0613,0.88,0.0613,-0.72,0.0613,-0.4,0.0613,-0.4,0.0613,-0.24,0.0613,0.88
0.0614,-0.08,0.0614,-0.8,0.0614,0,0.0614,-0.64,0.0614,-0.16,0.0614,-0.4,0.0614,-0.24,0.0614,0.8
0.0615,-0.08,0.0615,-0.8,0.0615,-0.32,0.0615,-0.64,0.0615,0.32,0.0615,-0.48,0.0615,-0.32,0.0615,0.72
0.0616,-0.12,0.0616,-0.8,0.0616,-0.56,0.0616,-0.56,0.0616,0.88,0.0616,-0.48,0.0616,-0.32,0.0616,0.56
0.0617,-0.14,0.0617,-0.8,0.0617,-0.72,0.0617,-0.4,0.0617,0.8,0.0617,-0.48,0.0617,-0.32,0.0617,0.56
0.0618,-0.14,0.0618,-0.8,0.0618,-0.72,0.0618,-0.08,0.0618,1.52,0.0618,-0.48,0.0618,-0.24,0.0618,0.48
0.0619,-0.14,0.0619,-0.8,0.0619,-0.72,0.0619,0.4,0.0619,1.2,0.0619,-0.48,0.0619,-0.32,0.0619,0.4
0.062,-0.16,0.062,-0.8,0.062,-0.72,0.062,2,0.062,0.8,0.062,-0.48,0.062,-0.24,0.062,0.4
0.0621,-0.16,0.0621,-0.64,0.0621,0.24,0.0621,4.08,0.0621,0.4,0.0621,-0.48,0.0621,-0.32,0.0621,0.32
0.0622,-0.14,0.0622,-0.4,0.0622,0,0.0622,3.68,0.0622,0.16,0.0622,-0.4,0.0622,-0.24,0.0622,0.24
0.0623,-0.14,0.0623,0.08,0.0623,-0.48,0.0623,2.8,0.0623,-0.08,0.0623,-0.32,0.0623,-0.16,0.0623,0.16
0.0624,-0.12,0.0624,0.72,0.0624,-0.72,0.0624,1.92,0.0624,-0.24,0.0624,-0.24,0.0624,-0.16,0.0624,0.16
0.0625,-0.1,0.0625,1.68,0.0625,-0.72,0.0625,1.2,0.0625,-0.32,0.0625,-0.16,0.0625,-0.08,0.0625,0.08
0.0626,-0.1,0.0626,2.64,0.0626,-0.8,0.0626,0.64,0.0626,-0.4,0.0626,0,0.0626,0,0.0626,0.16
0.0627,-0.08,0.0627,2.4,0.0627,-0.72,0.0627,0.24,0.0627,-0.4,0.0627,0.16,0.0627,0.08,0.0627,0.16
0.0628,-0.04,0.0628,2.56,0.0628,-0.64,0.0628,-0.08,0.0628,-0.4,0.0628,0.32,0.0628,0.32,0.0628,0.08
0.0629,0.04,0.0629,2.4,0.0629,-0.48,0.0629,-0.32,0.0629,-0.4,0.0629,0.72,0.0629,0.4,0.0629,0.08
0.063,0.52,0.063,1.84,0.063,0.32,0.063,-0.48,0.063,-0.48,0.063,1.36,0.063,0.88,0.063,0.08
0.0631,1.24,0.0631,1.28,0.0631,2.16,0.0631,-0.56,0.0631,-0.48,0.0631,1.52,0.0631,1.52,0.0631,0
0.0632,1.58,0.0632,0.72,0.0632,2.08,0.0632,-0.64,0.0632,-0.48,0.0632,1.04,0.0632,1.12,0.0632,0.08
0.0633,1.3,0.0633,0.24,0.0633,0.96,0.0633,-0.72,0.0633,-0.4,0.0633,2.08,0.0633,1.52,0.0633,0.08
0.0634,0.86,0.0634,0,0.0634,0.08,0.0634,-0.72,0.0634,-0.4,0.0634,2.88,0.0634,2.08,0.0634,0
0.0635,0.58,0.0635,-0.24,0.0635,-0.32,0.0635,-0.72,0.0635,-0.32,0.0635,3.12,0.0635,2.64,0.0635,0
0.0636,0.32,0.0636,-0.4,0.0636,-0.56,0.0636,-0.72,0.0636,-0.24,0.0636,3.12,0.0636,2.8,0.0636,0
0.0637,0.18,0.0637,-0.56,0.0637,-0.72,0.0637,-0.72,0.0637,-0.08,0.0637,3.04,0.0637,2.64,0.0637,0
0.0638,0.08,0.0638,-0.72,0.0638,-0.72,0.0638,-0.8,0.0638,0.08,0.0638,2.96,0.0638,2.56,0.0638,0
0.0639,0.04,0.0639,-0.8,0.0639,-0.72,0.0639,-0.8,0.0639,0.56,0.0639,2.64,0.0639,2.24,0.0639,-0.08
0.064,-0.04,0.064,-0.72,0.064,-0.72,0.064,-0.72,0.064,1.92,0.064,2.32,0.064,2,0.064,-0.08
0.0641,-0.06,0.0641,-0.8,0.0641,0.16,0.0641,-0.64,0.0641,3.76,0.0641,2,0.0641,1.68,0.0641,-0.16
0.0642,-0.1,0.0642,-0.8,0.0642,-0.08,0.0642,-0.4,0.0642,4.8,0.0642,1.76,0.0642,1.44,0.0642,0.24
0.0643,-0.1,0.0643,-0.8,0.0643,-0.48,0.0643,-0.24,0.0643,4.48,0.0643,1.52,0.0643,1.2,0.0643,2.16
0.0644,-0.12,0.0644,-0.8,0.0644,-0.72,0.0644,0.32,0.0644,3.36,0.0644,1.2,0.0644,0.88,0.0644,3.6
0.0645,-0.12,0.0645,-0.64,0.0645,-0.72,0.0645,1.84,0.0645,2.4,0.0645,1.04,0.0645,0.8,0.0645,4.4
0.0646,-0.12,0.0646,-0.56,0.0646,-0.72,0.0646,1.44,0.0646,1.68,0.0646,0.88,0.0646,0.64,0.0646,4.56
0.0647,-0.14,0.0647,-0.4,0.0647,-0.64,0.0647,1.36,0.0647,1.04,0.0647,0.72,0.0647,0.48,0.0647,4.56
0.0648,-0.16,0.0648,0,0.0648,-0.64,0.0648,1.28,0.0648,0.56,0.0648,0.56,0.0648,0.4,0.0648,4.32
0.0649,-0.14,0.0649,0.56,0.0649,-0.48,0.0649,0.8,0.0649,0.24,0.0649,0.48,0.0649,0.24,0.0649,4.08
0.065,-0.16,0.065,1.36,0.065,0.4,0.065,0.4,0.065,0,0.065,0.32,0.065,0.24,0.065,3.68
0.0651,-0.16,0.0651,3.28,0.0651,2.24,0.0651,0,0.0651,-0.16,0.0651,0.24,0.0651,0.16,0.0651,3.36
0.0652,-0.16,0.0652,4,0.0652,2.16,0.0652,-0.24,0.0652,-0.24,0.0652,0.16,0.0652,0.08,0.0652,2.96
0.0653,-0.14,0.0653,3.2,0.0653,1.04,0.0653,-0.4,0.0653,-0.32,0.0653,0,0.0653,0.08,0.0653,2.64
0.0654,-0.1,0.0654,2.56,0.0654,0.08,0.0654,-0.56,0.0654,-0.32,0.0654,-0.08,0.0654,0,0.0654,2.32
0.0655,0.06,0.0655,1.68,0.0655,-0.24,0.0655,-0.64,0.0655,-0.4,0.0655,-0.16,0.0655,-0.08,0.0655,2.08
0.0656,0.22,0.0656,1.04,0.0656,-0.56,0.0656,-0.72,0.0656,-0.4,0.0656,-0.16,0.0656,-0.16,0.0656,1.92
0.0657,0.18,0.0657,0.56,0.0657,-0.72,0.0657,-0.72,0.0657,-0.48,0.0657,-0.24,0.0657,-0.16,0.0657,1.68
0.0658,0.26,0.0658,0.16,0.0658,-0.72,0.0658,-0.72,0.0658,-0.48,0.0658,-0.24,0.0658,-0.16,0.0658,1.52
0.0659,0.16,0.0659,-0.24,0.0659,-0.72,0.0659,-0.72,0.0659,-0.48,0.0659,-0.32,0.0659,-0.24,0.0659,1.36
0.066,0.1,0.066,-0.48,0.066,-0.72,0.066,-0.72,0.066,-0.48,0.066,-0.32,0.066,-0.24,0.066,1.28
0.0661,0,0.0661,-0.56,0.0661,0.08,0.0661,-0.72,0.0661,-0.4,0.0661,-0.4,0.0661,-0.16,0.0661,1.12
0.0662,-0.06,0.0662,-0.64,0.0662,-0.16,0.0662,-0.72,0.0662,-0.32,0.0662,-0.4,0.0662,-0.24,0.0662,1.04
0.0663,-0.1,0.0663,-0.72,0.0663,-0.48,0.0663,-0.72,0.0663,-0.08,0.0663,-0.4,0.0663,-0.24,0.0663,0.88
0.0664,-0.12,0.0664,-0.88,0.0664,-0.64,0.0664,-0.72,0.0664,0.32,0.0664,-0.4,0.0664,-0.32,0.0664,0.8
0.0665,-0.12,0.0665,-0.88,0.0665,-0.72,0.0665,-0.64,0.0665,1.44,0.0665,-0.4,0.0665,-0.32,0.0665,0.72
0.0666,-0.1,0.0666,-0.88,0.0666,-0.72,0.0666,-0.56,0.0666,2.56,0.0666,-0.4,0.0666,-0.32,0.0666,0.56
0.0667,-0.12,0.0667,-0.96,0.0667,-0.64,0.0667,-0.4,0.0667,1.84,0.0667,-0.4,0.0667,-0.32,0.0667,0.48
0.0668,-0.12,0.0668,-0.96,0.0668,-0.48,0.0668,-0.08,0.0668,2,0.0668,-0.4,0.0668,-0.32,0.0668,0.48
0.0669,-0.12,0.0669,-0.96,0.0669,-0.4,0.0669,0.32,0.0669,1.44,0.0669,-0.4,0.0669,-0.24,0.0669,0.4
0.067,-0.12,0.067,-0.96,0.067,0.32,0.067,1.84,0.067,0.88,0.067,-0.4,0.067,-0.32,0.067,0.32
0.0671,-0.14,0.0671,-0.88,0.0671,2.24,0.0671,3.92,0.0671,0.48,0.0671,-0.32,0.0671,-0.24,0.0671,0.24
0.0672,-0.12,0.0672,-0.72,0.0672,2.24,0.0672,3.44,0.0672,0.16,0.0672,-0.32,0.0672,-0.32,0.0672,0.24
0.0673,-0.12,0.0673,-0.4,0.0673,1.04,0.0673,2.64,0.0673,-0.08,0.0673,-0.24,0.0673,-0.32,0.0673,0.16
0.0674,-0.12,0.0674,0.16,0.0674,0.24,0.0674,1.76,0.0674,-0.24,0.0674,-0.16,0.0674,-0.32,0.0674,0.16
0.0675,-0.14,0.0675,0.8,0.0675,-0.24,0.0675,1.12,0.0675,-0.32,0.0675,0,0.0675,-0.24,0.0675,0.16
0.0676,-0.14,0.0676,1.6,0.0676,-0.48,0.0676,0.56,0.0676,-0.4,0.0676,0.16,0.0676,-0.24,0.0676,0.16
0.0677,-0.1,0.0677,1.76,0.0677,-0.64,0.0677,0.16,0.0677,-0.48,0.0677,0.32,0.0677,-0.16,0.0677,0.16
0.0678,-0.08,0.0678,2.24,0.0678,-0.72,0.0678,-0.16,0.0678,-0.48,0.0678,0.64,0.0678,-0.16,0.0678,0.08
0.0679,-0.02,0.0679,2.32,0.0679,-0.8,0.0679,-0.32,0.0679,-0.56,0.0679,1.12,0.0679,-0.08,0.0679,0.16
0.068,0.38,0.068,1.84,0.068,-0.72,0.068,-0.48,0.068,-0.48,0.068,2,0.068,0.24,0.068,0.08
0.0681,1.2,0.0681,1.2,0.0681,0,0.0681,-0.56,0.0681,-0.56,0.0681,2.88,0.0681,0.8,0.0681,0
0.0682,1.56,0.0682,0.72,0.0682,-0.16,0.0682,-0.56,0.0682,-0.56,0.0682,3.6,0.0682,1.36,0.0682,0
0.0683,1.28,0.0683,0.24,0.0683,-0.48,0.0683,-0.72,0.0683,-0.48,0.0683,3.84,0.0683,1.36,0.0683,0.08
0.0684,0.84,0.0684,0,0.0684,-0.64,0.0684,-0.72,0.0684,-0.4,0.0684,3.68,0.0684,1.2,0.0684,0.16
0.0685,0.56,0.0685,-0.24,0.0685,-0.72,0.0685,-0.72,0.0685,-0.4,0.0685,3.28,0.0685,1.04,0.0685,0.16
0.0686,0.36,0.0686,-0.4,0.0686,-0.72,0.0686,-0.72,0.0686,-0.32,0.0686,2.8,0.0686,0.8,0.0686,0.32
0.0687,0.18,0.0687,-0.56,0.0687,-0.64,0.0687,-0.72,0.0687,-0.16,0.0687,2.48,0.0687,0.64,0.0687,0.48
0.0688,0.04,0.0688,-0.72,0.0688,-0.56,0.0688,-0.72,0.0688,0,0.0688,2.16,0.0688,0.56,0.0688,0.64
0.0689,0,0.0689,-0.72,0.0689,-0.4,0.0689,-0.72,0.0689,0.4,0.0689,1.76,0.0689,0.4,0.0689,1.04
0.069,-0.02,0.069,-0.8,0.069,0.4,0.069,-0.72,0.069,1.68,0.069,1.52,0.069,0.24,0.069,2
0.0691,-0.1,0.0691,-0.8,0.0691,2.16,0.0691,-0.64,0.0691,3.28,0.0691,1.12,0.0691,0.16,0.0691,2.96
0.0692,-0.12,0.0692,-0.8,0.0692,2.16,0.0692,-0.48,0.0692,4.32,0.0692,0.88,0.0692,0.08,0.0692,3.28
0.0693,-0.12,0.0693,-0.88,0.0693,1.04,0.0693,-0.08,0.0693,4,0.0693,0.64,0.0693,0,0.0693,3.04
0.0694,-0.14,0.0694,-0.88,0.0694,0.16,0.0694,0.4,0.0694,2.96,0.0694,0.48,0.0694,-0.08,0.0694,2.72
0.0695,-0.14,0.0695,-0.8,0.0695,-0.24,0.0695,2,0.0695,2,0.0695,0.32,0.0695,-0.08,0.0695,2.4
0.0696,-0.16,0.0696,-0.64,0.0696,-0.48,0.0696,1.6,0.0696,1.36,0.0696,0.16,0.0696,-0.16,0.0696,2.08
0.0697,-0.16,0.0697,-0.48,0.0697,-0.72,0.0697,1.92,0.0697,0.8,0.0697,0,0.0697,-0.16,0.0697,1.76
0.0698,-0.16,0.0698,-0.08,0.0698,-0.72,0.0698,1.76,0.0698,0.32,0.0698,-0.08,0.0698,-0.16,0.0698,1.52
0.0699,-0.16,0.0699,0.4,0.0699,-0.72,0.0699,1.28,0.0699,0.08,0.0699,-0.16,0.0699,-0.24,0.0699,1.28
0.07,-0.14,0.07,1.12,0.07,-0.72,0.07,0.72,0.07,-0.16,0.07,-0.16,0.07,-0.24,0.07,1.04
0.0701,-0.14,0.0701,2.96,0.0701,0,0.0701,0.32,0.0701,-0.24,0.0701,-0.24,0.0701,-0.32,0.0701,0.8
0.0702,-0.16,0.0702,3.6,0.0702,-0.16,0.0702,-0.08,0.0702,-0.32,0.0702,-0.32,0.0702,-0.24,0.0702,0.64
0.0703,-0.12,0.0703,2.96,0.0703,-0.48,0.0703,-0.32,0.0703,-0.48,0.0703,-0.32,0.0703,-0.32,0.0703,0.56
0.0704,-0.1,0.0704,2.24,0.0704,-0.64,0.0704,-0.48,0.0704,-0.48,0.0704,-0.32,0.0704,-0.32,0.0704,0.4
0.0705,0,0.0705,1.6,0.0705,-0.72,0.0705,-0.56,0.0705,-0.56,0.0705,-0.4,0.0705,-0.32,0.0705,0.32
0.0706,0.1,0.0706,0.96,0.0706,-0.72,0.0706,-0.64,0.0706,-0.48,0.0706,-0.4,0.0706,-0.32,0.0706,0.32
0.0707,0.04,0.0707,0.48,0.0707,-0.64,0.0707,-0.72,0.0707,-0.48,0.0707,-0.4,0.0707,-0.32,0.0707,0.24
0.0708,0.1,0.0708,0,0.0708,-0.56,0.0708,-0.72,0.0708,-0.48,0.0708,-0.48,0.0708,-0.32,0.0708,0.16
0.0709,0.08,0.0709,-0.32,0.0709,-0.4,0.0709,-0.72,0.0709,-0.48,0.0709,-0.48,0.0709,-0.32,0.0709,0.08
0.071,0.04,0.071,-0.48,0.071,0.4,0.071,-0.72,0.071,-0.48,0.071,-0.48,0.071,-0.32,0.071,0.08
0.0711,-0.02,0.0711,-0.64,0.0711,2.24,0.0711,-0.72,0.0711,-0.4,0.0711,-0.48,0.0711,-0.32,0.0711,0
0.0712,-0.08,0.0712,-0.8,0.0712,2.16,0.0712,-0.8,0.0712,-0.24,0.0712,-0.48,0.0712,-0.24,0.0712,0
0.0713,-0.06,0.0713,-0.8,0.0713,1.04,0.0713,-0.8,0.0713,-0.08,0.0713,-0.48,0.0713,-0.24,0.0713,-0.08
0.0714,-0.14,0.0714,-0.88,0.0714,0.08,0.0714,-0.72,0.0714,0.4,0.0714,-0.56,0.0714,-0.32,0.0714,-0.08
0.0715,-0.14,0.0715,-0.96,0.0715,-0.32,0.0715,-0.72,0.0715,1.68,0.0715,-0.56,0.0715,-0.32,0.0715,-0.08
0.0716,-0.16,0.0716,-0.96,0.0716,-0.48,0.0716,-0.56,0.0716,2.8,0.0716,-0.48,0.0716,-0.32,0.0716,-0.08
0.0717,-0.16,0.0717,-1.04,0.0717,-0.64,0.0717,-0.48,0.0717,2.4,0.0717,-0.56,0.0717,-0.32,0.0717,-0.08
0.0718,-0.1,0.0718,-0.96,0.0718,-0.64,0.0718,-0.24,0.0718,2.88,0.0718,-0.56,0.0718,-0.24,0.0718,-0.08
0.0719,-0.12,0.0719,-0.96,0.0719,-0.64,0.0719,0.16,0.0719,2.32,0.0719,-0.48,0.0719,-0.32,0.0719,-0.08
0.072,-0.16,0.072,-0.96,0.072,-0.72,0.072,1.6,0.072,1.68,0.072,-0.48,0.072,-0.32,0.072,-0.08
0.0721,-0.16,0.0721,-0.96,0.0721,-0.08,0.0721,3.6,0.0721,1.12,0.0721,-0.48,0.0721,-0.32,0.0721,-0.16
0.0722,-0.16,0.0722,-0.8,0.0722,-0.24,0.0722,3.2,0.0722,0.64,0.0722,-0.4,0.0722,-0.32,0.0722,-0.08
0.0723,-0.12,0.0723,-0.48,0.0723,-0.56,0.0723,2.4,0.0723,0.32,0.0723,-0.32,0.0723,-0.16,0.0723,-0.16
0.0724,-0.14,0.0724,0,0.0724,-0.64,0.0724,1.6,0.0724,0,0.0724,-0.24,0.0724,-0.16,0.0724,-0.16
0.0725,-0.12,0.0725,0.64,0.0725,-0.72,0.0725,0.96,0.0725,-0.08,0.0725,-0.16,0.0725,-0.08,0.0725,-0.16
0.0726,-0.14,0.0726,1.28,0.0726,-0.72,0.0726,0.48,0.0726,-0.16,0.0726,0,0.0726,0,0.0726,-0.16
0.0727,-0.08,0.0727,1.28,0.0727,-0.64,0.0727,0.08,0.0727,-0.32,0.0727,0.16,0.0727,0.16,0.0727,-0.16
0.0728,-0.06,0.0728,1.6,0.0728,-0.56,0.0728,-0.16,0.0728,-0.4,0.0728,0.32,0.0728,0.4,0.0728,-0.16
0.0729,0,0.0729,1.6,0.0729,-0.32,0.0729,-0.32,0.0729,-0.48,0.0729,0.72,0.0729,0.56,0.0729,-0.16
0.073,0.42,0.073,1.04,0.073,0.4,0.073,-0.48,0.073,-0.48,0.073,1.36,0.073,0.96,0.073,-0.16
0.0731,1.18,0.0731,0.56,0.0731,2.4,0.0731,-0.56,0.0731,-0.56,0.0731,1.52,0.0731,1.68,0.0731,-0.16
0.0732,1.5,0.0732,0.16,0.0732,2.24,0.0732,-0.72,0.0732,-0.56,0.0732,1.04,0.0732,1.28,0.0732,-0.08
0.0733,1.22,0.0733,-0.24,0.0733,1.12,0.0733,-0.72,0.0733,-0.56,0.0733,1.76,0.0733,1.52,0.0733,-0.16
0.0734,0.84,0.0734,-0.32,0.0734,0.16,0.0734,-0.72,0.0734,-0.56,0.0734,2.32,0.0734,2.08,0.0734,-0.16
0.0735,0.54,0.0735,-0.48,0.0735,-0.16,0.0735,-0.72,0.0735,-0.48,0.0735,2.4,0.0735,2.56,0.0735,-0.16
0.0736,0.3,0.0736,-0.64,0.0736,-0.48,0.0736,-0.72,0.0736,-0.48,0.0736,2.32,0.0736,2.64,0.0736,-0.08
0.0737,0.14,0.0737,-0.8,0.0737,-0.72,0.0737,-0.72,0.0737,-0.32,0.0737,2.32,0.0737,2.48,0.0737,-0.08
0.0738,0.06,0.0738,-0.88,0.0738,-0.64,0.0738,-0.72,0.0738,-0.16,0.0738,2.08,0.0738,2.32,0.0738,-0.08
0.0739,-0.02,0.0739,-0.88,0.0739,-0.72,0.0739,-0.72,0.0739,0.24,0.0739,1.92,0.0739,2,0.0739,-0.08
0.074,-0.06,0.074,-0.88,0.074,-0.72,0.074,-0.8,0.074,1.28,0.074,1.6,0.074,1.76,0.074,-0.08
0.0741,-0.1,0.0741,-0.8,0.0741,-0.16,0.0741,-0.72,0.0741,2.8,0.0741,1.36,0.0741,1.52,0.0741,-0.24
0.0742,-0.12,0.0742,-0.88,0.0742,-0.32,0.0742,-0.56,0.0742,3.68,0.0742,1.12,0.0742,1.28,0.0742,0.08
0.0743,-0.16,0.0743,-0.8,0.0743,-0.56,0.0743,-0.32,0.0743,3.36,0.0743,0.88,0.0743,1.04,0.0743,1.36
0.0744,-0.14,0.0744,-0.8,0.0744,-0.64,0.0744,0.08,0.0744,2.48,0.0744,0.72,0.0744,0.8,0.0744,2.32
0.0745,-0.14,0.0745,-0.88,0.0745,-0.64,0.0745,1.36,0.0745,1.68,0.0745,0.56,0.0745,0.64,0.0745,2.88
0.0746,-0.18,0.0746,-0.72,0.0746,-0.72,0.0746,1.04,0.0746,1.04,0.0746,0.4,0.0746,0.48,0.0746,2.96
0.0747,-0.18,0.0747,-0.48,0.0747,-0.56,0.0747,1.6,0.0747,0.56,0.0747,0.32,0.0747,0.32,0.0747,2.96
0.0748,-0.16,0.0748,-0.24,0.0748,-0.56,0.0748,1.6,0.0748,0.24,0.0748,0.24,0.0748,0.32,0.0748,2.88
0.0749,-0.2,0.0749,0.24,0.0749,-0.4,0.0749,1.2,0.0749,0,0.0749,0.08,0.0749,0.16,0.0749,2.64
0.075,-0.2,0.075,0.96,0.075,0.4,0.075,0.72,0.075,-0.24,0.075,0,0.075,0.08,0.075,2.32
0.0751,-0.18,0.0751,2.72,0.0751,2.24,0.0751,0.24,0.0751,-0.32,0.0751,0,0.0751,0.08,0.0751,2.08
0.0752,-0.16,0.0752,3.28,0.0752,2.32,0.0752,-0.08,0.0752,-0.4,0.0752,-0.08,0.0752,0,0.0752,1.92
0.0753,-0.12,0.0753,2.8,0.0753,1.12,0.0753,-0.24,0.0753,-0.48,0.0753,-0.16,0.0753,-0.08,0.0753,1.6
